description_text,link,data
"Petrobras registra em 2019 o maior lucro de sua história: R$ 40,1 bilhões",https://news.google.com/read/CBMiwAFBVV95cUxOeTd5bmN2dl82eGRVQ2w2VUhGVG5Tc09SNFdDa21PeV9DWG5jMkd5blNTRzRteEpVeWs0c3NVT2paTnpJU3VjM2hTQXIyRnBlVHctMnFFOGl0dTB0TURnMzJMbkdxeHQxM3A0V1hmMjRXWlpNeVctY2U0NmFZSDJrdFF5Z0ZiYmx5SHhkM1hEWGhSRVptbl94ZjA3QVVwVGN1WFJuQ05qR0RqYV9HN2YxQUtvcGM0a2s4ZUV3YlVWNmM?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras tenta conter maior greve desde 1995 com oferta de dinheiro para quem não aderir a paralisação,https://news.google.com/read/CBMiWkFVX3lxTE1yNHVwMVQybjBZWTNSMkpmdW1xWXd1Nkw4N0lObjAwdlJiN0wzenA1WWFfVk05dWRCdWZ3dV8zeWxNSjBScFZVX2cwZDllS0lOS2k2MkUxZ1hUUdIBX0FVX3lxTFBmMm1fbEJ2TDZRbXZBdjZ1MnJPUGpmNEJSQXphU2F0eFE4SlFUVG1aZFNwY0tXWFJUNmVUUnBUTWlmVUFyTmJ1RGViUkFXTU9kY3JJOVJmSk5xUmdSUkMw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Ex-operador da Petrobras fecha acordo de delação premiada em caso com tradings,https://news.google.com/read/CBMi1AFBVV95cUxPR2w1TXo5UlJhXzkybnhNSlF4Mld4ajJsbElheC1uZHBmWHFTZWtrX3VfQ0lVOXFnYndkempOZUZwVXdQSDFHd2ExUkFqVTJtUHRPWWlaX05nZGxtRzNVYUlpUWd1aDRQSi1RQXZRQ21xcF96QXNVUGxOLUl1bmhjbmhWVEFDU2oxaGtFZ2VvTlN1c2NhdzNzNkVMNkFrcXpJb0VHalJ6Q2xXVjE3SkZkc09hZnNMVWxsZVg5Ulg1VnhBOFBPZkJHYWcwbkhwN1VDaUU0RdIB2gFBVV95cUxNeHRQS1V3VHFGYzM3VzZXc0k2UkYxeERodGVQTXZMcjlBTEFBXzZ1clBLa2RNUmhVSWZsMXlYcGdRNEU0eXhZcFRyUmRGMVZVcDN4Q3g5OEFLQzVsSWNhUlJ5a2kxZUJkSkh4T0V5RkV2MnpKbHVtVWdZa09qclV3ckltc09jNk9jUjhvNXluOWM3cmRsM3NtNTNkc2VTRXlrSWo4NHlHWm9jd0pUR1M0b3NEeFBxcG9XVy1sZmlFM3RPLXBxa3B6T1ZkVVBMTDItdi1PZVZtQlZkdw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Plano de saúde administrado pela Petrobras arcará com tratamento de aposentado com câncer,https://news.google.com/read/CBMizAFBVV95cUxQMGt4cXpjcmVGajVVc1pobnNaSlZnbnNRcDRoM1JpNkpHSUYtQm9nQUVrdWx4bUhaR2FGYWVJNVNJWUliR05FdjdnemYwQ0IyU1FzckxyR2dWckFsdDNHYURtWl8wTHV3eHEyOGxVVHE3RWFuZ2VpZFJTQVprSWpYVHFzWTV4cjJLNmZaaWo1YVg5ZzBSRDZRU3NrV0s2R3FkSXRvSkVsRUFRUy1iYlRzOGpxWE9BcG1oMnllazRIVG9Ib1BGMkpnYldJaDbSAdIBQVVfeXFMTTRKbHJzRDRNSnJVNHFGVGhTOWZ4SFVzQlJ6TjVwQ1gyMHVNM0d0OWFiZGtlWWRLd1ZWOWo0T1pZUnAwNVRvV2xmeEFvOHUyV3FpNjI5MFRpWnZoSWdtZzhMYnkwbjhLTkpnM19zSUlIclJpdm5lMjdScHlBRl9pbFVRUHJGM1BKcUFXU1dFcXRLSVpPdE9zVUJGNDNLMXJTVXdWR1NSb2xPS3FSUEpNQnFsOTJSajRYZVRvYkI3WHVYV09meUpYU0ZVWW11YkpveTVB?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petroleiros farão ato no centro do Rio de Janeiro no 18º dia de greve,https://news.google.com/read/CBMisAFBVV95cUxNNHBMeHlpdWd0U0U1UkxDdFRRNXpUMWRoSUxMYzJIM29UeHg0elFySU40V0VUMDF4emtJLWxySHZvZlhWLTFWdllPSTJadGpOSTIteHFQc3dfS21fS0NsR3Q3Y3JUbXFPZFR3d1VqSTU5b0JTb1kyR2ZCU0lYV2R4TDV2cDlpdkUxOV92U0l0eTU0eTloeFRHNTlwNUN3b2xJOVBkejRveHlkeXJWeTZnXw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petroleiros queimam comunicados de demissão da Petrobras – Sociedade,https://news.google.com/read/CBMioAFBVV95cUxQWkE0MXJrWVJ4Nk9KclFjZklDNU4xOTlpT3lxUkJpM2EzbXUyd2JPX2RiR2VBRkcxWVZOeE5FeFpPMUI5eElrVXp6eUdwZmtQLVJPRUx2WkdDWF9odGhfOFlIbGhhOXZJYmYtMFRCZ0JyQ0t0YkR5WWs2ZjZkdVhLOFpSZzcyOG9HZjNLTXdMYUtzOUNEMktNbVVjaFlqTjBT?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Cetesb multa a Petrobras por emissão de poluentes que causou fumaça amarelada em Cubatão,https://news.google.com/read/CBMi5gFBVV95cUxNaHBmN01NMjhKYk52bzhlZUtqUjBJeTlRWUVza1J6aWFTeTdGd09OQzk3MkNOdERlUjIxbDNEQXo2SUdISkNvanVNc19tUHdBTXRYV2lKUWx0QTRJUVZvOEZSclJGU1FsNFFicFFjZGhwYllfaEVxVlRITzAwMlRoQ2lPMXRROW10WTFPOGJBMU9nOFpJamUxaGQtcVdNeTZsUVdxb1owNlpVWFY3NzRqRndQVWJyN0lTWHlfRk93N0dyMnhncW9CRy1CSVJpUGVpUVd6c3ZDSmczaHFJT1RLWDVEM1AtUdIB9AFBVV95cUxORklDV0pVUXVrNmNoQmxqYW1NcFNtWlJoYVJJcWFQYzBTSjU2VnNRWUd2d1paeXNMdFlscG5KaTg2UmQ4bUJkR3VhekNSZFNVSlY5dEpIT00zbzlpR2xXLVo0TGNKZzhndkdtMEtHSU1uM0N4YndwSUZkUHBOVW5YRFpCOHVCcXpmLWVoa3g3Qm55MHFYRGNZV1VvYWZHeDhGNEd0eDBJc3lnSU40dnJwU3dZS1M2UHF6YTNDcEFyV1RKQy12T3NlVno4NnpBVGcwNW5OSWJFNzNEVjNNc1JsRnNrRHpkZWZMaU9IdGxlbkx3T3hx?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Greve dos petroleiros alcança 30 unidades da Petrobras no quarto dia,https://news.google.com/read/CBMitAFBVV95cUxOMzdWY3pBaGlRU0pJNUxBdS1vekdPMlJfQ29RN3d4MkRyaUR4V3ppVXNqTWRyQVhHc0d3Z1YwRWFXajJQNVNfOEhIM2ZpQ0NHYmRxbUFMeUNHYk9fMVU4dmh2VnoyUjlwSll5b1RxNE5qeHZfa2pQVWhyUi0yMV9wN2RWQU9wYU1NQU00ajhYcG9uWXFyQTJiR21wYkFOaVFzYVlEdWxsbDZCMHd6S0lla08yZ3Y?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Grevistas queimam comunicados de demissão entregues pela Petrobras,https://news.google.com/read/CBMiuwFBVV95cUxQWWY3VVZ6S2RJUUxiQ0ctQVhBcmZmNHA3X1hhd3EzUWN4V2Nval9zRjdFbkkxSjJQNFo1LTZMUnlCWEg4dHplUENsVVFxUzMtNF9oY1dWVUdwU2M5ZUQ5NjgtUm42ZGZGRFB1MkhfeTFFWHhsN1VVUDNlOVNJSldsNlNseUVtRUJtdmZBdHN3dFNZOVMtZjVoRnl2VE5sU1QtNlFjVGZTYzlBUXVJMWdreE9WWTItd2R1cV9F?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
Petrobras pede reintegração de posse de edifício ocupado por petroleiros,https://news.google.com/read/CBMitgFBVV95cUxOdGJRTUtrekRaZXkyenZRZ3B2QmdkQ09ESzJsQkQtcDJkMWhyM3FMSWx1aVdJR0twaHBVRXFVbFoyMFNwXzV2UTE1VGVhQUhYczBaSF9lRG9OODVFWEF6TmxDOGhuSTZOcVRkTkJ2cXBLa190TGNhemlDYndfcV8wSDE1ZnUyNzBfNjVOOURWTU5HbmViZ0FQazZSVWV6TEZqaUJlZ0UwdHh3ejdKaWpIZ1NqU1Q2UQ?hl=pt-BR&gl=BR&ceid=BR%3Apt-419,
